No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Photo Url
40,Ivica Zubac,C,7'-1'',265,18-Mar-97,ba,2,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/zubaciv01.jpg
14,Brandon Ingram,SG,6'-9'',190,2-Sep-97,us,2,Duke University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/ingrabr01.jpg
2,Lonzo Ball,PG,6'-6'',190,27-Oct-97,us,1,"University of California, Los Angeles",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/balllo01.jpg
0,Kyle Kuzma,SF,6'-9'',220,24-Jul-95,us,1,University of Utah,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/kuzmaky01.jpg
3,Josh Hart,SG,6'-5'',209,6-Mar-95,us,1,Villanova University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/hartjo01.jpg
15,Moritz Wagner,C,6'-11'',245,26-Apr-97,de,R,University of Michigan,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/wagnemo01.jpg
,Isaac Bonga,G,6'-8'',179,8-Nov-99,de,R,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/bongais01.jpg
1,Kentavious Caldwell-Pope,SG,6'-5'',205,18-Feb-93,us,5,University of Georgia,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/caldwke01.jpg
9,Rajon Rondo,PG,6'-1'',186,22-Feb-86,us,12,University of Kentucky,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/rondora01.jpg
23,LeBron James,PF,6'-8'',250,30-Dec-84,us,15,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/jamesle01.jpg
6,Lance Stephenson,SG,6'-5'',230,5-Sep-90,us,8,University of Cincinnati,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/stephla01.jpg
10,Svi Mykhailiuk,SF,6'-8'',205,10-Jun-97,ua,R,University of Kansas,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/mykhasv01.jpg
7,JaVale McGee,C,7'-0'',270,19-Jan-88,us,10,"University of Nevada, Reno",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/mcgeeja01.jpg
,Alex Caruso  (TW),G,6'-5'',186,28-Feb-94,us,1,Texas A&M University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/carusal01.jpg
11,Michael Beasley,PF,6'-9'',235,9-Jan-89,us,10,Kansas State University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/beaslmi01.jpg
19,Johnathan Williams  (TW),C,6'-9'',228,22-May-95,us,R,"University of Missouri, Gonzaga University",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/willijo04.jpg
5,Tyson Chandler,C,7'-1'',240,2-Oct-82,us,17,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/chandty01.jpg
